label,cond1,cond2,cond3,cond4,item,sentence,alternative,group
chow_rev_low_115_10,chow,rev,low,10,115,The security guard investigated which loiterer the patrolman had evaded for three hours.,x-x-x whatever tears quantitative sweet isometry sir fecundity pre valour song broke wants.,list2
chow_rev_high_116_9,chow,rev,high,9,116,The farmer indicated which donkey the townsperson had bought in the neighboring village.,x-x-x learnt copyright heard refine anti rationalize yeah window cell pre transmitted herself.,list2
chow_rev_low_116_9,chow,rev,low,9,116,The farmer indicated which townsperson the donkey had bought in the neighboring village.,x-x-x learnt copyright heard rationalize anti refine yeah window cell pre transmitted herself.,list1
chow_rev_high_117_9,chow,rev,high,9,117,The reporter inquired which animals the groomer had cleaned with special shampoo.,x-x-x reminded cavities trust achieve holy dukedom mid sheriff uses edition bullpen.,list1
chow_rev_low_117_9,chow,rev,low,9,117,The reporter inquired which groomer the animals had cleaned with special shampoo.,x-x-x reminded cavities trust dukedom holy achieve mid sheriff uses edition bullpen.,list2
chow_rev_high_118_10,chow,rev,high,10,118,The dance instructor noticed which onlookers the performers had impressed in the audience.,x-x-x apart incomplete awesome agree reanimate lake undertaken lord ownership slow link suggests.,list2
chow_rev_low_118_10,chow,rev,low,10,118,The dance instructor noticed which performers the onlookers had impressed in the audience.,x-x-x apart incomplete awesome agree undertaken lake reanimate lord ownership slow link suggests.,list1
chow_rev_high_119_10,chow,rev,high,10,119,The jail keeper forgot which guard the prisoner had attacked in his cell.,x-x-x rely genres extent coast learn sir annually fact external bar ask whom.,list1
chow_rev_low_119_10,chow,rev,low,10,119,The jail keeper forgot which prisoner the guard had attacked in his cell.,x-x-x rely genres extent coast annually sir learn fact external bar ask whom.,list2
chow_rev_high_120_10,chow,rev,high,10,120,The Indian king identified which prince the elephant had trampled during the long journey.,x-x-x Caught okay completion focus partake fact reaffirm data modifier handle look fund protect.,list2
chow_rev_low_120_10,chow,rev,low,10,120,The Indian king identified which elephant the prince had trampled during the long journey.,x-x-x Caught okay completion focus reaffirm fact partake data modifier handle look fund protect.,list1
chow_rev_high_121_10,chow,rev,high,10,121,The undead king recognized which woman the zombie had bitten during the fight.,x-x-x peruse calm meaningful learn befit sir tonnes van suites coffee drop meant.,list1
chow_rev_low_121_10,chow,rev,low,10,121,The undead king recognized which zombie the woman had bitten during the fight.,x-x-x peruse calm meaningful learn tonnes sir befit van suites coffee drop meant.,list2
chow_rev_high_122_9,chow,rev,high,9,122,The nanny knew which housekeeper the billionaire had hired from their conversation.,x-x-x borne zero stock hospitalize wall tranquilize okay boost lake sense unbelievable.,list2
chow_rev_low_122_9,chow,rev,low,9,122,The nanny knew which billionaire the housekeeper had hired from their conversation.,x-x-x borne zero stock tranquilize wall hospitalize okay boost lake sense unbelievable.,list1
chow_rev_high_123_9,chow,rev,high,9,123,The policeman knew which suspect the detective had arrested for the recent crime.,x-x-x modernize cool apply approve mid reanimate sell classify hill tree create apart.,list1
chow_rev_low_123_9,chow,rev,low,9,123,The policeman knew which detective the suspect had arrested for the recent crime.,x-x-x modernize cool apply reanimate mid approve sell classify hill tree create apart.,list2
chow_rev_high_124_9,chow,rev,high,9,124,The priest knew which demon the exorcist had expelled with a cross.,x-x-x behave loss build versa sir dedicate nice ridicule dine vote apart.,list2
chow_rev_low_124_9,chow,rev,low,9,124,The priest knew which exorcist the demon had expelled with a cross.,x-x-x behave loss build dedicate sir versa nice ridicule dine vote apart.,list1
chow_rev_high_125_9,chow,rev,high,9,125,The four-year-old knew which hero the dragon had eaten for dinner last night.,x-x-x characterised duty study pray app bailey dad rainy anti thinks cent weird.,list1
chow_rev_low_125_9,chow,rev,low,9,125,The four-year-old knew which dragon the hero had eaten for dinner last night.,x-x-x characterised duty study bailey app pray dad rainy anti thinks cent weird.,list2
chow_rev_high_126_9,chow,rev,high,9,126,The researcher learned which whale the biologist had studied in the lab.,x-x-x contacting eastern china fined pre earmarked zero faculty join held cuts.,list2
chow_rev_low_126_9,chow,rev,low,9,126,The researcher learned which biologist the whale had studied in the lab.,x-x-x contacting eastern china earmarked pre fined zero faculty join held cuts.,list1
chow_rev_high_127_10,chow,rev,high,10,127,The military man knew which soldiers the general had promoted after their tour.,x-x-x whatever mid hill offer polarize pre realize cent workshop wants hoist none.,list1
chow_rev_low_127_10,chow,rev,low,10,127,The military man knew which general the soldiers had promoted after their tour.,x-x-x whatever mid hill offer realize pre polarize cent workshop wants hoist none.,list2
chow_rev_high_128_10,chow,rev,high,10,128,The judo master recognized which defender the assailant had attacked late last night.,x-x-x deem anyway legitimate sweet memorize cool uncombine sale shipping text cent weird.,list2
chow_rev_low_128_10,chow,rev,low,10,128,The judo master recognized which assailant the defender had attacked late last night.,x-x-x deem anyway legitimate sweet wildfires cool uncombine sale shipping text cent weird.,list1
chow_rev_high_129_10,chow,rev,high,10,129,The committee member guessed which advisors the president had appointed to the Cabinet.,x-x-x withstand animal noodles loved oncology off ourselves naps boyfriend torn soul Connect.,list1
chow_rev_low_129_10,chow,rev,low,10,129,The committee member guessed which president the advisors had appointed to the Cabinet.,x-x-x withstand animal noodles loved ourselves off oncology naps boyfriend torn soul Connect.,list2
chow_rev_high_130_10,chow,rev,high,10,130,The head nun explained which friar the temptress had seduced after Sunday mass.,x-x-x seen mph consumers click begin trip vizualize pre novella daunt Expand ford.,list3
chow_rev_low_130_10,chow,rev,low,10,130,The head nun explained which temptress the friar had seduced after Sunday mass.,x-x-x seen mph consumers click visualize trip begin pre novella daunt Expand ford.,list4
chow_rev_high_131_9,chow,rev,high,9,131,The naturalist observed which predators the deer had avoided by sleeping in the daytime.,x-x-x depolarize validate block encourage nice quit cash counsel care sandwich cast list greeted.,list4
chow_rev_low_131_9,chow,rev,low,9,131,The naturalist observed which deer the predators had avoided by sleeping in the daytime.,x-x-x depolarize validate block quit nice encourage cash counsel care sandwich cast list greeted.,list3
chow_rev_high_132_9,chow,rev,high,9,132,The producer observed which viewers the acrobats had impressed with their tricks.,x-x-x moreover disposal coast enforce mom palisade off framework yeah shall bailey.,list3
chow_rev_low_132_9,chow,rev,low,9,132,The producer observed which acrobats the viewers had impressed with their tricks.,x-x-x moreover disposal coast palisade mom enforce off framework yeah shall bailey.,list4
chow_rev_high_133_10,chow,rev,high,10,133,The parole officer confirmed which delinquent the psychologist had treated several times already.,x-x-x expire weather brilliant proud abbreviate hour restrengthen sad section digital throw awesome.,list4
chow_rev_low_133_10,chow,rev,low,10,133,The parole officer confirmed which psychologist the delinquent had treated several times already.,x-x-x expire weather brilliant proud restrengthen hour abbreviate sad section digital throw awesome.,list3
chow_rev_high_134_10,chow,rev,high,10,134,The police officer noted which jeweler the burglar had robbed on his spree.,x-x-x anyway healthy trees check impeach cup tropics west metric sad guy shear.,list3
chow_rev_low_134_10,chow,rev,low,10,134,The police officer noted which burglar the jeweler had robbed on his spree.,x-x-x anyway healthy trees check tropics cup impeach west metric sad guy shear.,list4
chow_rev_high_135_10,chow,rev,high,10,135,The restaurant owner forgot which customer the waitress had served during dinner yesterday.,x-x-x undertaken aware meters worth theorize lake dedicate non afraid hazard decide efficient.,list4
chow_rev_low_135_10,chow,rev,low,10,135,The restaurant owner forgot which waitress the customer had served during dinner yesterday.,x-x-x undertaken aware meters worth dedicate lake theorize non afraid hazard decide efficient.,list3
chow_rev_high_136_9,chow,rev,high,9,136,The columnist publicized which photographer the celebrity had punched in the nose.,x-x-x adulthood silverware gloat thanksgiving west ourselves sick gateway ride grow heal.,list3
chow_rev_low_136_9,chow,rev,low,9,136,The columnist publicized which celebrity the photographer had punched in the nose.,x-x-x adulthood silverware gloat ourselves west thanksgiving sick gateway ride grow heal.,list4
chow_rev_high_137_10,chow,rev,high,10,137,The park ranger documented which eagle the hunter had shot with a rifle.,x-x-x else chords fraudulent basis fetch off resign goal ball glad term deeds.,list4
chow_rev_low_137_10,chow,rev,low,10,137,The park ranger documented which hunter the eagle had shot with a rifle.,x-x-x else chords fraudulent basis resign off fetch goal ball glad term deeds.,list3
chow_rev_high_138_9,chow,rev,high,9,138,The sheriff recalled which locals the gangsters had robbed in a dark alleyway.,x-x-x sounded sensible worry unbag lady diversify anti clutch wind eye cent libretto.,list3
chow_rev_low_138_9,chow,rev,low,9,138,The sheriff recalled which gangsters the locals had robbed in a dark alleyway.,x-x-x sounded sensible worry diversify lady unbag anti clutch wind eye cent libretto.,list4
chow_rev_high_139_9,chow,rev,high,9,139,The ringmaster recognized which cheetah the tamer had trained three years ago.,x-x-x initialize convenient aware aground sick shunt glad reviews knows funny kept.,list4
chow_rev_low_139_9,chow,rev,low,9,139,The ringmaster recognized which tamer the cheetah had trained three years ago.,x-x-x initialize convenient aware shunt sick aground glad reviews knows funny kept.,list3
chow_rev_high_140_9,chow,rev,high,9,140,The queen recognized which nobleman the comedian had entertained with his jokes.,x-x-x yours healthcare learn heighten trip shutting mom linguistics vote app trans.,list3
chow_rev_low_140_9,chow,rev,low,9,140,The queen recognized which comedian the nobleman had entertained with his jokes.,x-x-x yours healthcare learn shutting trip heighten mom linguistics vote app trans.,list4
chow_rev_high_141_9,chow,rev,high,9,141,The farmhand recorded which goats the breeder had sold at the market.,x-x-x lengthen grateful agree garde hall deliver goal lady hope sit starts.,list4
chow_rev_low_141_9,chow,rev,low,9,141,The farmhand recorded which breeder the goats had sold at the market.,x-x-x lengthen grateful agree deliver hall garde goal lady hope sit starts.,list3
chow_rev_high_142_9,chow,rev,high,9,142,The firefighter reported which victim the paramedic had saved after the fire.,x-x-x endangering positive china submit lake celebrate hill union types knew glad.,list3
chow_rev_low_142_9,chow,rev,low,9,142,The firefighter reported which paramedic the victim had saved after the fire.,x-x-x endangering positive china celebrate lake submit hill union types knew glad.,list4
chow_rev_high_143_9,chow,rev,high,9,143,The camper reported which girl the bear had mauled in the forest.,x-x-x convex grateful wants sure yes suck slow steppe glad guy afraid.,list4
chow_rev_low_143_9,chow,rev,low,9,143,The camper reported which bear the girl had mauled in the forest.,x-x-x convex grateful wants suck yes sure slow steppe glad guy afraid.,list3
chow_rev_high_144_10,chow,rev,high,10,144,The ape researcher identified which chimpanzee the poacher had shot in the jungle.,x-x-x slid kilometers engagement start condescend cash ionized jobs sale feel wish entity.,list3
chow_rev_low_144_10,chow,rev,low,10,144,The ape researcher identified which poacher the chimpanzee had shot in the jungle.,x-x-x slid kilometers engagement start ionized cash condescend jobs sale feel wish entity.,list4
chow_rev_high_145_9,chow,rev,high,9,145,The parent saw which child the lifeguard had rescued from the pool.,x-x-x anyway fun guess cents lake cautioned sad squeeze text note none.,list4
chow_rev_low_145_9,chow,rev,low,9,145,The parent saw which lifeguard the child had rescued from the pool.,x-x-x anyway fun guess cautioned lake cents sad squeeze text note none.,list3
chow_rev_high_146_9,chow,rev,high,9,146,The sailor saw which whale the man had harpooned on the starboard side.,x-x-x browse pro month amend non glad slow diacritic tax guys nullified vote.,list3
chow_rev_low_146_9,chow,rev,low,9,146,The sailor saw which man the whale had harpooned on the starboard side.,x-x-x browse pro month glad non amend slow diacritic tax guys nullified vote.,list4
chow_rev_high_147_9,chow,rev,high,9,147,The boatman saw which shark the diver had speared just off the shore.,x-x-x imparts else guess sworn page facto east deduces hill vote rose reign.,list4
chow_rev_low_147_9,chow,rev,low,9,147,The boatman saw which diver the shark had speared just off the shore.,x-x-x imparts else guess facto page sworn east deduces hill vote rose reign.,list3
chow_rev_high_148_10,chow,rev,high,10,148,The high schooler heard which geek the jock had bullied in the hall.,x-x-x seen reissued lucky spend like mom bono sale firearm war link cent.,list3
chow_rev_low_148_10,chow,rev,low,10,148,The high schooler heard which jock the geek had bullied in the hall.,x-x-x seen reissued lucky spend bono mom like sale firearm war link cent.,list4
chow_rev_high_149_9,chow,rev,high,9,149,The housekeeper showed which mouse the cat had killed under the table.,x-x-x intermingle memory march above east got ways wonder scale drop users.,list4
chow_rev_low_149_9,chow,rev,low,9,149,The housekeeper showed which cat the mouse had killed under the table.,x-x-x intermingle memory march got east above ways wonder scale drop users.,list3
chow_rev_high_150_9,chow,rev,high,9,150,The documentarian showed which piglets the agriculturalist had raised at the farm.,x-x-x reinvestigate regret knows mystify hill arrondissements sick winner lord girl dumb.,list3
chow_rev_low_150_9,chow,rev,low,9,150,The documentarian showed which agriculturalist the piglets had raised at the farm.,x-x-x reinvestigate regret knows arrondissements hill mystify sick winner lord girl dumb.,list4
chow_rev_high_151_10,chow,rev,high,10,151,The campaign volunteer speculated which mayor the voters had elected by a landslide.,x-x-x whatever delicious definitive looks sandy hour recede word chicken sex fun enrolment.,list4
chow_rev_low_151_10,chow,rev,low,10,151,The campaign volunteer speculated which voters the mayor had elected by a landslide.,x-x-x whatever delicious definitive looks recede hour sandy word chicken sex fun enrolment.,list3
chow_rev_high_152_10,chow,rev,high,10,152,The prison warden guessed which jailer the inmate had stabbed with a knife.,x-x-x gotten palate cancers learn girder trip resent sale rebuild feel tell kings.,list3
chow_rev_low_152_10,chow,rev,low,10,152,The prison warden guessed which inmate the jailer had stabbed with a knife.,x-x-x gotten palate cancers learn resent trip girder sale rebuild feel tell kings.,list4
chow_rev_high_153_10,chow,rev,high,10,153,The bird watcher saw which photographer the hawk had attacked in the woods.,x-x-x rely cathode math month tranquillize gift lieu text shipping cost ran chose.,list4
chow_rev_low_153_10,chow,rev,low,10,153,The bird watcher saw which hawk the photographer had attacked in the woods.,x-x-x rely cathode math month lieu gift tranquillize text shipping cost ran chose.,list3
chow_rev_high_154_8,chow,rev,high,8,154,Tracy announced which applicant the administrator had chosen after the interview.,x-x-x everybody proud firepower slow heterogeneous big lovely movie than continues.,list3
chow_rev_low_154_8,chow,rev,low,8,154,Tracy announced which administrator the applicant had chosen after the interview.,x-x-x everybody proud heterogeneous slow firepower big lovely movie than continues.,list4
chow_rev_high_155_8,chow,rev,high,8,155,Tonia explained which housewife the conman had swindled over the phone.,x-x-x delicious march totalling holy accpet miss vaulting sale hear apart.,list4
chow_rev_low_155_8,chow,rev,low,8,155,Tonia explained which conman the housewife had swindled over the phone.,x-x-x delicious march accept holy totalling miss vaulting sale hear apart.,list3
chow_rev_high_156_8,chow,rev,high,8,156,Teresa knew which neighbor the parrot had bitten at the block party.,x-x-x cash spend hesitate fan hinder fun diaper miss kind cents worry.,list3
chow_rev_low_156_8,chow,rev,low,8,156,Teresa knew which parrot the neighbor had bitten at the block party.,x-x-x cash spend hinder fan hesitate fun diaper miss kind cents worry.,list4
chow_rev_high_157_8,chow,rev,high,8,157,Jack observed which passenger the conductor had removed from the train.,x-x-x duration basis deodorize mom harmonize fat dollars gift uses apply.,list4
chow_rev_low_157_8,chow,rev,low,8,157,Jack observed which conductor the passenger had removed from the train.,x-x-x duration basis harmonize mom deodorize fat dollars gift uses apply.,list3
chow_rev_high_158_10,chow,rev,high,10,158,The old widower remembered which villager the ghost had haunted for many years.,x-x-x nor harshly violations throw bespeckle cup hears easy heather war guys doing.,list3
chow_rev_low_158_10,chow,rev,low,10,158,The old widower remembered which ghost the villager had haunted for many years.,x-x-x nor harshly violations throw hears cup bespeckle easy heather war guys doing.,list4
chow_rev_high_159_10,chow,rev,high,10,159,The aid worker realized which refugees the philanthropist had helped to escape starvation.,x-x-x fail salmon imperial notes vaporize card illegitimatize wood window song lights competence.,list4
chow_rev_low_159_10,chow,rev,low,10,159,The aid worker realized which philanthropist the refugees had helped to escape starvation.,x-x-x fail salmon imperial notes illegitimatize card vaporize wood window song lights competence.,list3
chow_﻿sub_high_200_10,chow,sub,high,10,200,The aquarium visitor wondered which fish the penguins had eaten during the performance.,x-x-x authored sarcasm platinum basis beaten cash activism hot brook school goes essentially.,list1
chow_sub_low_200_10,chow,sub,low,10,200,The aquarium visitor wondered which trainer the penguins had eaten during the performance.,x-x-x authored sarcasm platinum basis beaten cash activism hot brook school goes essentially.,list2
chow_sub_high_201_9,chow,sub,high,9,201,The storyteller explained which dragon the prince had slain with his sword.,x-x-x antagonizes nutrition knows recline okay engage tax highs sort draw indie.,list2
chow_sub_low_201_9,chow,sub,low,9,201,The storyteller explained which princess the prince had slain with his sword.,x-x-x antagonizes nutrition knows recline okay engage tax highs sort draw indie.,list1
chow_sub_high_202_9,chow,sub,high,9,202,The superintendent overheard which tenant the landlord had evicted at the end of May.,x-x-x overcompensate passports worth gallon yeah donating non glucose unit glad born fat dad.,list1
chow_sub_low_202_9,chow,sub,low,9,202,The superintendent overheard which realtor the landlord had evicted at the end of May.,x-x-x overcompensate passports worth ignite yeah donating non glucose unit glad born fat dad.,list2
chow_sub_high_203_9,chow,sub,high,9,203,The butler speculated which guests the master had invited to the party.,x-x-x modify federalism learn ignite self myself pop contest am dad apply.,list2
chow_sub_low_203_9,chow,sub,low,9,203,The butler speculated which servants the master had invited to the party.,x-x-x modify federalism learn arctic self myself pop contest am dad apply.,list1
chow_sub_high_204_9,chow,sub,high,9,204,The priest mentioned which nonbeliever the nun had converted on her mission trip.,x-x-x afford advantage guess hospitalize trip aero big detective same mom nations math.,list1
chow_sub_low_204_9,chow,sub,low,9,204,The priest mentioned which archbishop the nun had converted on her mission trip.,x-x-x afford advantage guess hospitalize trip aero big detective same mom nations math.,list2
chow_sub_high_205_9,chow,sub,high,9,205,The sheriff boasted which horse the cowboy had ridden across the town.,x-x-x propose cholera beach alpine okay aboard glad sexist window luck shut.,list2
chow_sub_low_205_9,chow,sub,low,9,205,The sheriff boasted which bandit the cowboy had ridden across the town.,x-x-x propose cholera beach alpine okay aboard glad sexist window luck shut.,list1
chow_sub_high_206_9,chow,sub,high,8,206,Stevens revealed which clerk the manager had fired for being lazy.,x-x-x download scale loathe pre becomes wild shirt push enjoy boil.,list1
chow_sub_low_206_9,chow,sub,low,8,206,Stevens revealed which customer the manager had fired for being lazy.,x-x-x download scale loathe pre becomes wild shirt push enjoy boil.,list2
chow_sub_high_207_10,chow,sub,high,10,207,The secret serviceman concealed which ex-president the agent had protected from the terrorists.,x-x-x anyway malevolent beginners sweet averaging mid apply pre nutrition cent eat recommends.,list2
chow_sub_low_207_10,chow,sub,low,10,207,The secret serviceman concealed which assassin the agent had protected from the terrorists.,x-x-x anyway malevolent beginners sweet averaging mid apply pre nutrition cent eat recommends.,list1
chow_sub_high_208_10,chow,sub,high,10,208,The Roman emperor asked which god the gladiator had worshipped for strength in battle.,x-x-x seeks forgive track scene eroded ice socialize cool topography glad chairman sold doctor.,list1
chow_sub_low_208_10,chow,sub,low,10,208,The Roman emperor asked which adversary the gladiator had worshipped for strength in battle.,x-x-x seeks forgive track scene eroded ice socialize cool topography glad chairman sold doctor.,list2
chow_sub_high_209_9,chow,sub,high,9,209,The author revealed which maiden the hero had saved from the tower.,x-x-x anyway vehicles union agree yeah rely dad dozen page bill lined.,list2
chow_sub_low_209_9,chow,sub,low,9,209,The author revealed which ogre the hero had saved from the tower.,x-x-x anyway vehicles union agree yeah rely dad dozen page bill lined.,list1
chow_sub_high_210_9,chow,sub,high,9,210,The columnist publicized which billionaire the supermodel had married on public television.,x-x-x encourage vibrations judge extinguish sir antagonize okay studies text method impossible.,list1
chow_sub_low_210_9,chow,sub,low,9,210,The columnist publicized which stylist the supermodel had married on public television.,x-x-x encourage vibrations judge extinguish sir antagonize okay studies text method impossible.,list2
chow_sub_high_211_10,chow,sub,high,10,211,The Iranian scholar researched which camels the Persians had ridden across the desert.,x-x-x spelled lengths southbound proud obsess sale plugging mom carrot missed die gentle.,list2
chow_sub_low_211_10,chow,sub,low,10,211,The Iranian scholar researched which soldiers the Persians had ridden across the desert.,x-x-x spellled lengths southbound proud obsess sale plugging mom carrot missed die gentle.,list1
chow_sub_high_212_9,chow,sub,high,9,212,The beggar saw which leper the saint had cured in the street.,x-x-x juggle draw month runtime lots boost heat yacht sir buy happen.,list1
chow_sub_low_212_9,chow,sub,low,9,212,The beggar saw which prophet the saint had cured in the street.,x-x-x juggle draw month runtime lots boost heat yacht sir buy happen.,list2
chow_sub_high_213_9,chow,sub,high,9,213,The historian recorded which patriot the king had knighted at the ceremony.,x-x-x undergone download sleep noodles nice upon job idealist move bill studying.,list2
chow_sub_low_213_9,chow,sub,low,9,213,The historian recorded which traitor the king had knighted at the ceremony.,x-x-x undergone download sleep noodles nice upon job idealist move bill studying.,list1
chow_sub_high_214_9,chow,sub,high,9,214,The monk recalled which sinner the priest had forgiven in church yesterday.,x-x-x slid gameplay super scooter anti spends hill outdated base listen happening.,list1
chow_sub_low_214_9,chow,sub,low,9,214,The monk recalled which cardinal the priest had forgiven in church yesterday.,x-x-x slid gameplay super scooter anti spends hill outdated base listen happening.,list2
chow_sub_high_215_9,chow,sub,high,9,215,The scientist noted which antelope the lion had eaten for his dinner.,x-x-x achieving banks score tighten sure outs app elder hall step thinks.,list2
chow_sub_low_215_9,chow,sub,low,9,215,The scientist noted which cub the lion had eaten for his dinner.,x-x-x achieving banks score tighten sure outs app elder hall step thinks.,list1
chow_sub_high_216_9,chow,sub,high,9,216,The secretary confirmed which illustrator the author had hired for the new book.,x-x-x recommend delicious learn bounded sad caught late kings miss feet gets kept.,list1
chow_sub_low_216_9,chow,sub,low,9,216,The secretary confirmed which readers the author had hired for the new book.,x-x-x recommend delicious learn bounded sad caught late kings miss feet gets kept.,list2
chow_sub_high_217_9,chow,sub,high,9,217,The stenographer recorded which defendant the judge had sentenced to fifteen years.,x-x-x oversimplify stealing agree befriend fun shown wind invisible push commons funny.,list2
chow_sub_low_217_9,chow,sub,low,9,217,The stenographer recorded which lawyer the judge had sentenced to fifteen years.,x-x-x oversimplify stealing agree befriend fun shown wind invisible push commons funny.,list1
chow_sub_high_218_8,chow,sub,high,8,218,Spencer guessed which agent the actress had hired to promote her career.,x-x-x evasion photo capita yeah forgive six crack car tobacco kept posted.,list1
chow_sub_low_218_8,chow,sub,low,8,218,Spencer guessed which admirer the actress had hired to promote her career.,x-x-x evasion photo capita yeah forgive six crack car tobacco kept posted.,list2
chow_sub_high_219_9,chow,sub,high,9,219,The editor listed which orphans the philanthropist had adopted from the faraway place.,x-x-x afford polish worth resilience bad chromatography slow teenage nice walk recline trump.,list2
chow_sub_low_219_9,chow,sub,low,9,219,The editor listed which volunteers the philanthropist had adopted from the faraway place.,x-x-x afford polish worth resilience bad chromatography slow teenage nice walk recline trump.,list1
chow_sub_high_220_9,chow,sub,high,9,220,The farmer remembered which pig the butcher had slaughtered in his kitchen.,x-x-x relies irrelevant agree learn okay stealth link reformation turn guy becomes.,list1
chow_sub_low_220_9,chow,sub,low,9,220,The farmer remembered which vegetarian the butcher had slaughtered in his kitchen.,x-x-x relies irrelevant agree learn okay stealth link reformation turn guy becomes.,list2
